,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,oktyabrskiy,75,RU,1575858989,80,55.61,37.97,36.0,8.95
388,faenza,40,IT,1575858946,87,44.29,11.88,46.99,3.36
389,buala,100,SB,1575858989,85,-8.15,159.59,79.59,11.72
390,lhokseumawe,96,ID,1575858770,92,5.18,97.15,72.43,3.6
391,lagoa,20,PT,1575858989,100,37.14,-8.45,59.0,5.82
392,taybad,0,IR,1575858990,57,34.74,60.78,50.76,22.68
393,grootfontein,0,NA,1575858990,62,-19.56,18.1,63.64,15.68
394,pombas,100,BR,1575858990,76,-15.9,-54.74,72.23,2.53
395,front royal,75,IT,1575858990,93,45.28,7.66,44.01,3.36
396,tilichiki,0,RU,1575858990,90,60.47,166.1,-12.06,10.85
397,solnechnyy,94,RU,1575858990,83,50.72,136.64,-6.34,3.69
398,abu kamal,20,JP,1575858990,58,34.51,131.49,53.6,11.41
399,puerto penasco,40,AR,1575858991,76,-51.62,-69.23,53.6,5.82
400,flinders,33,AU,1575858780,51,-34.58,150.85,87.01,17.22
401,omboue,100,GA,1575858991,95,-1.57,9.26,74.21,4.68
402,yeppoon,0,AU,1575858991,43,-23.13,150.74,87.8,12.75
403,aksay,0,KZ,1575858991,74,51.17,53.01,23.9,8.9
404,kiunga,24,PG,1575858991,41,-6.12,141.3,95.49,2.73
405,sumenep,82,ID,1575858991,59,-7.02,113.87,88.14,2.59
406,meulaboh,55,ID,1575858992,77,4.14,96.13,79.88,4.61
407,guadalupe victoria,5,MX,1575858992,64,25.68,-100.26,71.6,4.79
408,alofi,95,NU,1575858992,66,-19.06,-169.92,84.2,14.99
409,saint-pierre,90,FR,1575858992,93,48.95,4.24,46.4,26.4
410,jumla,0,NP,1575858992,9,29.28,82.18,41.67,0.98
411,bathsheba,40,BB,1575858992,74,13.22,-59.52,80.6,23.04
412,areosa,75,PT,1575858992,100,41.72,-8.86,50.0,2.24
413,pisco,79,PE,1575858993,88,-13.71,-76.2,68.0,12.75
414,masty,100,BY,1575858993,88,53.42,24.54,43.18,14.61
415,adwa,0,ET,1575858993,87,14.16,38.9,55.65,2.75
416,muros,75,ES,1575858993,100,42.77,-9.06,48.99,1.21
417,maine-soroa,57,NE,1575858993,24,13.21,12.02,67.15,10.98
418,vao,65,EE,1575858993,84,59.1,26.19,41.36,14.36
419,thinadhoo,73,MV,1575858744,80,0.53,72.93,82.62,15.99
420,pokosnoye,100,RU,1575858994,93,55.53,101.05,24.21,11.88
421,kibuye,100,RW,1575858994,98,-2.07,29.35,57.87,3.87
422,salumbar,40,IN,1575858994,100,24.14,74.05,48.2,7.47
423,sisimiut,85,GL,1575858994,56,66.94,-53.67,3.27,8.5
424,galle,42,GN,1575858994,70,10.08,-12.83,68.09,1.43
425,rongcheng,0,CN,1575858994,74,37.16,122.42,54.0,16.87
426,chapais,90,CA,1575858994,86,49.78,-74.86,26.6,12.75
427,mandalgovi,100,MN,1575858994,58,45.76,106.27,23.22,7.72
428,wufeng,47,CN,1575858994,75,27.44,104.87,45.16,0.85
429,tuatapere,52,NZ,1575858995,67,-46.13,167.69,55.0,17.0
430,ambulu,100,ID,1575858995,77,-8.35,113.61,82.47,5.91
431,hovd,90,NO,1575858995,92,63.83,10.7,34.0,11.41
432,manta,100,RO,1575858995,79,45.1,24.1,35.19,1.19
433,mayo,20,CA,1575858995,75,63.59,-135.9,-20.2,3.36
434,siavonga,99,ZW,1575858996,68,-16.54,28.71,76.75,2.44
435,parelhas,0,BR,1575858996,92,-6.69,-36.66,69.37,12.82
436,puerto el triunfo,40,AR,1575858996,76,-51.62,-69.23,53.6,5.82
437,udaipura,0,IN,1575858996,63,23.07,78.51,62.17,6.53
438,half moon bay,75,LR,1575858996,94,6.38,-10.7,77.0,1.41
439,shingu,20,JP,1575858996,47,33.72,135.99,55.4,5.82
440,temiscaming,90,CA,1575858996,100,46.72,-79.1,36.0,9.17
441,zhezkazgan,90,KZ,1575858996,92,47.8,67.71,24.8,8.95
442,namibe,78,AO,1575858996,78,-15.19,12.15,70.74,15.12
443,moerai,13,PF,1575858997,82,-22.43,-151.33,75.79,19.04
444,mount isa,20,GB,1575858942,93,53.66,-1.85,45.0,14.99
445,san francisco del mar,62,ML,1575858960,12,13.3,-4.9,69.55,7.45
446,waingapu,0,ID,1575858997,72,-9.65,120.26,83.97,5.46
447,bone,40,DE,1575858997,70,51.97,12.14,46.99,20.8
448,vestmannaeyjar,20,IS,1575858997,74,63.44,-20.27,40.08,23.17
449,saint-francois,99,FR,1575858997,81,46.42,3.91,46.99,9.17
450,jacareacanga,20,BR,1575858997,78,-6.22,-57.76,75.02,2.51
451,sept-iles,90,CA,1575858891,86,50.2,-66.38,28.99,13.87
452,fayaoue,100,NC,1575858998,84,-20.65,166.53,78.12,12.37
453,nhulunbuy,40,AU,1575858998,52,-12.18,136.78,91.4,11.41
454,vagur,27,FO,1575858998,62,61.47,-6.81,39.2,30.0
455,port lincoln,100,CD,1575858943,86,-7.04,29.76,71.8,14.7
456,dongsheng,99,CN,1575858998,47,29.72,112.52,58.35,6.35
457,tongchuan,0,CN,1575858998,56,34.9,108.95,42.8,2.24
458,opuwo,100,NA,1575858998,69,-18.06,13.84,58.17,4.65
459,asosa,5,ET,1575858998,53,10.07,34.53,66.92,5.5
460,sovetskaya,63,RU,1575858999,8,44.78,41.17,32.0,5.99
461,vostok,14,RU,1575858999,81,46.45,135.83,17.42,1.74
462,oume,20,CI,1575858999,100,6.38,-5.42,75.2,2.66
463,udachnyy,90,RU,1575858999,83,66.42,112.4,-13.0,2.24
464,alencon,75,FR,1575858710,81,48.43,0.08,46.4,16.11
465,mitsamiouli,100,KM,1575858999,77,-11.38,43.28,82.99,13.31
466,rocha,98,UY,1575858999,67,-34.48,-54.34,65.44,7.72
467,macamic,90,CA,1575858999,92,48.75,-79.0,28.4,11.41
468,manaus,47,BR,1575858782,88,-3.13,-59.98,78.8,6.93
469,pangody,100,RU,1575858725,93,65.85,74.49,12.51,21.5
470,bonthe,82,SL,1575859000,82,7.53,-12.5,80.01,6.26
471,hofn,0,IS,1575859000,57,64.25,-15.21,32.2,6.51
472,magadan,100,RU,1575859001,65,59.56,150.8,7.27,12.3
473,cockburn town,0,AU,1575859001,5,-32.08,141.0,100.4,12.75
474,nancha,100,CN,1575859001,75,47.14,129.26,7.97,3.71
475,miri,52,NG,1575859001,26,10.31,9.75,63.41,2.71
476,koudougou,0,BF,1575859001,13,12.25,-2.37,69.57,7.58
477,brae,96,GB,1575859001,75,60.4,-1.35,41.0,28.86
478,naryan-mar,100,RU,1575859001,96,67.67,53.09,31.68,23.62
479,gizo,40,IL,1575859002,87,31.8,34.94,59.0,11.41
480,sidi qasim,0,CF,1575859002,46,5.08,19.88,69.3,1.43
481,portland,75,US,1575858916,40,43.66,-70.25,39.0,11.41
482,iquitos,10,PE,1575859002,88,-3.75,-73.25,78.8,2.24
483,paranga,88,KE,1575859002,92,-3.29,38.4,69.98,5.35
484,iskateley,100,RU,1575859002,96,67.68,53.15,31.68,23.62
485,elizabeth city,90,US,1575858797,74,40.66,-74.21,42.01,17.52
486,mandurah,0,AU,1575859003,41,-32.55,115.7,80.01,8.05
487,seymchan,59,RU,1575859003,100,62.93,152.39,-27.76,0.92
488,dalaba,84,GN,1575859003,28,10.69,-12.25,66.6,2.15
489,tlachichuca,0,MX,1575859003,73,19.11,-97.42,49.26,1.74
490,lashio,0,MM,1575859003,40,22.93,97.75,62.2,1.03
491,makat,95,KZ,1575859003,67,47.65,53.35,29.26,10.07
492,merrill,90,US,1575859003,80,42.03,-121.6,34.0,6.93
493,coihaique,75,CL,1575858730,58,-45.58,-72.07,59.0,6.93
494,hudiksvall,100,SE,1575859004,89,61.73,17.1,37.0,5.01
